"Year","Commodity","Argentina","Australia","Austria","Barbados","Belgium","Bolivia","Bosnia and Herzegovina","Brazil","Bulgaria","Canada","Chile","China","Colombia","Costa Rica","Cote d'Ivoire","Croatia","Denmark","Dominican Republic","Ecuador","Egypt","El Salvador","Estonia","Fiji","Finland","France","Germany","Ghana","Greece","Guatemala","Haiti","Honduras","Hong Kong","Hungary","India","Indonesia","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kenya","Korea, South","Lebanon","Macedonia","Malaysia","Mexico","Montenegro","Netherlands","New Zealand","Nicaragua","Nigeria","Norway","Panama","Papua New Guinea","Peru","Philippines","Poland","Portugal","Russia","Saudi Arabia","Serbia","Singapore","South Africa","Spain","Sri Lanka","Sweden","Switzerland","Taiwan","Tanzania","Thailand","Trinidad and Tobago","Turkey","Uganda","Ukraine","United Kingdom","Venezuela","Vietnam"
1996,"Coffee",0,0,0,0,199987,0,0,57945037,0,10231136,0,6280,110917781,6021438,0,0,0,5721765,12521680,0,7100435,0,0,0,2865350,11406517,0,0,65432388,0,10343846,0,0,4832454,24238726,0,42945,2912274,172860,103684,0,0,54462,0,0,27005,125369546,0,5842623,0,844355,0,0,3485203,0,5623283,39930,51175,0,0,0,0,610721,0,37438,0,0,864637,0,0,5016290,45378,3967,0,0,276199,8346023,0
1997,"Coffee",0,0,0,0,250170,0,0,59584922,0,12433451,0,59717,110064656,13290910,0,0,0,9212933,7758258,0,17144290,0,0,0,8570350,16254959,0,0,88882030,0,7824680,0,0,907351,20221830,0,207191,2403106,403848,25133,0,0,79033,0,0,23506,139407972,0,5560183,0,1763546,0,0,3183005,0,2305432,14720,74104,0,0,0,0,352879,1658185,1502298,0,0,1193174,0,0,351286,13464,0,0,0,79195,3247135,29594102
1998,"Coffee",5861,0,0,0,85146,0,0,73785068,0,19764547,0,11118,155349214,24941972,0,0,0,7622959,9163846,0,11637290,0,4236,0,5562920,13988435,0,415696,73987021,64108,15205668,0,0,929017,23855525,0,219586,2350114,278939,25701,0,0,33970,0,0,20453,102054074,0,6154738,0,2829412,0,0,7802792,3097082,4352739,0,21202,0,0,0,0,463509,0,91009,0,0,192827,532712,0,346020,0,15959,0,0,936814,10089587,0
1999,"Coffee",0,0,0,0,23144,0,0,86642279,0,22638037,0,114658,108130574,14935543,0,0,130724,2596818,10677241,22948,9276178,0,0,0,2845632,13262964,0,0,61132120,0,9566996,0,0,772680,16176876,0,264718,3593302,522471,9651,0,0,21645,0,0,0,85277286,0,6526396,0,3689685,0,0,6287846,0,7496955,0,0,0,0,0,0,19481,219690,12284,0,0,783502,13051,0,441684,10250,6661,0,0,1028122,16799265,0
2000,"Coffee",7370,0,0,0,111986,0,0,60494934,0,22625247,0,13668,96447595,12181358,0,20012,0,2024352,3988473,22548,13950236,0,0,0,4964790,11025371,0,187567,48166044,0,8393452,3364,0,1201917,12523871,0,504138,3188233,384192,28906,0,0,34350,113296,0,26937,71118815,0,6047989,0,6413658,0,0,5078399,1722937,8117132,5534,0,0,0,0,0,76533,0,8451,0,0,1762053,4391,0,3833216,9699,0,0,0,1143865,3506892,0
2001,"Coffee",0,51272,0,0,115446,0,0,38228246,0,20536219,20251,0,74522042,9412107,0,62556,0,167822,1161350,17280,8444723,0,0,0,3278023,7712541,0,19041,23340833,0,4104590,0,0,611884,10971383,11847,727203,2878748,667446,27769,0,0,64309,0,0,27061,35814144,0,6117253,0,2916305,0,0,1726058,0,10183180,0,0,0,0,0,0,89871,35540,49033,0,0,2988952,3760,0,1478472,0,23207,0,0,1413340,0,0
2002,"Coffee",32963,0,0,0,129663,0,0,52087311,0,22100494,54259,47634,71396953,12894236,0,53914,0,548706,2399761,47208,2348504,0,0,7604,1173584,7026613,0,0,21704703,7503,1761802,0,0,396581,13176860,34518,74303,3742481,467510,37866,0,0,150462,0,0,99164,25402528,0,6319119,0,4016171,0,0,1382399,0,11278933,4480,81373,127588,3495,0,0,132782,0,20916,10767,0,2285766,37788,0,226872,12266,8838,0,0,676363,1781719,15210806
2003,"Coffee",2350,56098,0,0,409355,728178,0,68995109,0,18937231,50527,0,83183478,9102299,0,30832,0,521440,1607670,41455,6988402,0,0,0,1927703,10989605,0,192080,22529278,0,2120145,12705,0,810459,21490649,27792,229861,5022556,504291,23221,0,0,139924,0,0,84452,17489635,0,7518720,0,4677060,0,0,1411618,0,12838743,0,0,0,2658,0,0,173448,71117,30311,0,0,4865018,0,0,1575152,11554,0,0,0,1107764,0,0
2004,"Coffee",0,122989,0,5140,1255841,0,0,83166845,0,20820308,156058,121944,88790550,12746224,0,58927,32472,31279,2311514,37033,2780429,0,0,0,872343,14827194,0,2695,21317501,7598,3689570,0,0,702255,22784535,43223,472733,5384319,311778,188824,0,1154440,230776,18834,0,102337,21050127,0,7686974,0,3851550,0,0,1248861,0,21079317,20550,124734,0,0,0,0,163465,15457,152906,0,5410050,5927176,2517,0,713291,0,16619,0,0,1265725,0,0
2005,"Coffee",0,4999,0,0,1622585,0,0,101835949,0,22000923,0,21689,134252548,10620759,0,129620,0,78118,2283209,26880,5258361,0,0,0,677290,24316767,0,380954,26908026,0,5313148,5783,0,1130439,23958647,0,117363,6960360,228464,47123,0,0,437814,0,0,296436,24062579,54350,2690070,0,7005935,6647,0,1296492,0,20525099,9002,168924,29050,0,7581,0,116460,103195,0,0,0,5339693,25649,0,1926524,0,0,0,0,1469859,3544,0
2006,"Coffee",91805,30751,94308,0,1084301,0,0,111792291,0,21904132,2267,58800,128958032,8185227,0,81973,0,20700,5000278,73260,7633893,0,0,0,382992,29497036,0,0,24946305,0,5972791,12524,0,1031961,33547539,5631,248539,7157327,272591,106582,0,0,457320,0,34234,2139375,24343041,0,2132345,0,6288612,0,0,1028859,0,23576725,0,190346,61023,0,0,0,43178,450026,205224,0,0,5455503,25298,0,2929461,0,0,0,0,1185222,6022,0
2007,"Coffee",0,0,0,0,2159633,1018822,183633,139767835,0,21629792,71825,420861,153173758,9909008,2980702,0,0,57441,3621961,0,11226087,0,0,0,449741,26093414,0,421311,18809192,0,4673856,2719,0,807469,37337489,0,730136,9415578,307063,662563,0,0,601039,0,8487,4620276,31803250,0,1788575,0,10040806,0,0,1680619,0,26889403,2427,131372,40542,5029,40059,0,93337,26455,281119,0,0,5622466,19901,0,594079,8929,0,0,28635,700086,1300642,0
2008,"Coffee",9369,0,0,0,1348289,1776064,0,165747458,0,22170709,77346,24799,160462264,16453444,0,0,0,113995,805711,49561,13263669,0,0,0,1049368,30502578,0,347415,24923536,8940,5509626,0,0,1582652,53743278,0,635665,8092053,315027,1227172,0,4014664,774039,0,0,4363327,42835441,0,890330,0,15362448,0,0,1394429,0,35280657,0,155285,42968,22441,0,0,207196,74965,977892,0,0,6323702,22448,0,117666,0,0,0,0,670239,7296630,51313554
2009,"Coffee",0,0,4719,0,1012279,1840229,0,160114482,0,29708904,12525,22328,160374031,12542158,0,36150,0,163911,1246728,40176,8472615,0,0,0,907205,23621264,0,455689,25391052,6081,5128434,0,0,2027977,34778585,0,690460,8185113,887656,1802734,35126,0,980554,0,20247,4408525,39021271,0,636969,0,9043017,0,8737,685452,0,42751721,4491,271878,216390,6681,0,22308,155269,158754,1330219,10020,0,6088096,82771,0,221141,7990,30487,0,0,1014919,34205,60293531
2010,"Coffee",0,11667,75447,0,1721160,0,0,230095752,0,47742306,0,228821,204766943,20815368,0,19689,0,342907,2769083,49724,11708062,0,0,5181,662780,24750874,0,0,28735539,48000,9615704,0,0,2767952,35357108,0,316586,7773555,255261,1636810,59635,0,984637,311961,0,4382519,40656282,0,559444,5650,14628290,95514,0,567447,6072678,48946067,13447,194732,0,8046,8200,0,28936,17756,2337558,0,6942661,5698776,38014,0,407652,6552,42320,3444772,0,932351,0,76338051
2011,"Coffee",0,12236,78113,0,192236,1311411,0,397944381,9114,66464861,86768,665168,348419503,23691667,0,0,0,328758,3086612,104771,20781394,0,0,5498,867467,31705052,0,0,43909823,17087,21599349,3995,0,4425896,60293250,0,562157,11902431,85874,1240860,116434,0,508840,446204,0,8690744,60548199,0,807319,0,18216300,0,0,820349,16199694,85850258,22264,344102,579802,46200,0,0,89929,0,1026242,16639,6002047,15484679,62737,0,151726,0,123212,0,0,468047,4938,91631822
2012,"Coffee",5824,11484,0,0,1183226,1588620,0,411277696,2855,73872316,3862,1947282,223007633,26965204,0,25120,20028,4684031,3876748,309246,15892380,0,0,0,5524480,29576055,0,0,47094525,6076,12605973,0,0,3327359,66068057,0,900469,13046239,708971,1311007,5880,0,981239,475727,0,9296535,73062327,0,3910894,0,11933200,0,53261,527044,0,81157861,52139,460177,239996,5294,10965,116231,379896,218362,579369,0,4295472,16577035,110237,0,315076,0,146226,3235328,0,1297438,0,102525245
2013,"Coffee",0,29061,14460,0,761437,1664105,0,231044947,87747,72228810,0,1742858,199684709,21040657,0,54381,33555,1580917,2026740,171800,6428036,0,0,3542,1588040,26315953,0,0,31692165,4685,14078103,29979,0,8870291,52765696,0,1062907,11635522,360507,514158,4596,0,1170156,91255,0,7680282,58753630,0,4022418,3670,7124130,0,0,394696,11183241,41104913,53224,76380,285922,29225,0,0,290699,431692,1465867,0,0,8726302,115269,4111537,327201,2622,140308,0,0,811483,514550,96259359
2014,"Coffee",3438,131053,8096,0,871981,0,0,235401612,5607,67386035,0,0,215751860,13583650,0,0,86402,212103,3547801,155146,2325099,0,0,0,498924,28892999,0,236761,27187141,63984,14063445,5672,0,6847610,44320171,44972,884292,14338707,420868,60514,134770,0,1148356,342974,0,8666290,52467332,0,2958562,7624,4408436,0,21148,559177,13367009,44089009,120915,553333,221865,11804,20796,174231,231609,0,1172717,0,463800,10121801,110056,3451970,236090,0,202235,0,0,867770,0,74419010
2015,"Coffee",4154,71726,45866,0,844320,1188226,0,240571287,3999,68350134,0,913224,249854221,9644818,0,0,373299,282651,6019080,87691,5465688,7110,0,0,1153905,26619730,2665,584141,27551030,132730,18496338,2809,0,3525953,51968010,0,622102,16558366,787918,99696,270340,0,1218692,147133,0,4302312,44018208,0,2999255,130087,10911415,0,0,886868,7378803,39189127,164973,473191,412205,29323,0,0,15185,548647,2721359,0,17797,24290649,109546,5823342,174142,0,182882,0,4764,447467,0,57966474
2016,"Coffee",0,66689,71572,0,625457,827290,0,220382741,53481,78567485,93540,2498475,275647842,7590077,0,0,240751,198924,2785761,33245,3221988,0,0,0,1184597,18769104,0,187084,20038454,21813,22414868,11093,24191,5834046,57057253,0,1249790,15231483,141597,164066,269440,0,1431951,263552,0,1423314,29625095,0,2864584,28340,13587997,0,0,322277,13790547,51514274,74564,467721,286386,36419,0,0,2641,0,400390,0,17742,24250732,206813,5393119,210062,0,0,0,0,481814,0,70431398
1996,"Tea",0,0,0,0,2265,0,0,723442,0,3708757,0,5439880,0,0,0,0,0,0,90859,0,7477,0,0,0,20417,2987056,0,0,0,0,0,0,0,2500074,2645946,0,4714,16471,10056,368048,0,0,48118,0,0,0,77415,0,143211,0,0,0,0,0,0,0,0,39444,0,0,0,0,58818,0,0,0,0,0,0,0,70790,0,17781,0,0,445929,0,0
1997,"Tea",0,0,0,0,0,0,0,462006,0,3439168,0,6448452,0,0,0,0,0,0,157352,0,0,0,0,0,55060,2759317,0,0,0,0,0,0,0,4191178,2790847,0,66096,24556,7711,412474,0,0,144339,0,0,6045,22337,0,180617,0,0,0,0,0,0,22852,0,34606,0,0,0,0,22924,78414,0,0,0,0,0,0,54045,0,0,0,0,834837,0,228151
1998,"Tea",5516401,0,0,0,0,0,0,404155,0,2252790,0,6321640,0,62100,0,0,0,0,71657,0,0,0,0,0,93084,1952680,0,0,0,0,0,0,0,3382896,2650888,0,0,9615,5769,561024,0,0,290060,0,0,0,47631,0,285168,0,0,0,0,0,74352,0,0,80141,0,0,0,0,23449,0,16566,0,0,104317,540548,0,33020,0,75356,0,0,1078392,0,0
1999,"Tea",0,0,0,0,0,0,0,718930,0,4519835,0,4996945,0,0,0,0,0,0,51672,26028,0,0,0,0,72007,2690674,0,0,0,0,0,0,0,3617237,2277984,0,159052,0,0,524971,0,0,76227,0,0,0,758170,0,190955,0,0,0,0,0,0,0,0,0,0,0,0,0,287263,121208,0,0,0,0,829604,0,64942,0,144156,0,0,1076515,0,0
2000,"Tea",3427109,0,0,0,37736,0,0,629444,0,5890077,0,4393125,0,8121,0,8991,0,0,96315,0,0,0,0,0,88460,2308808,0,3206,0,0,0,91160,0,4163175,1264381,0,136457,3980,0,620899,0,0,130116,3876,0,0,556288,0,135930,0,0,0,0,0,61331,0,0,0,0,0,0,0,319502,0,0,0,0,3950,843394,0,80698,0,0,0,0,897253,0,0
2001,"Tea",0,12696,0,0,0,0,0,495458,0,8713242,304217,0,0,0,0,17117,0,0,122406,0,0,0,0,0,36723,3244525,0,0,0,0,0,0,0,4353272,1209143,156037,171741,41273,20586,621600,0,0,211557,0,0,0,1454839,0,148686,0,0,0,0,0,0,0,0,0,0,0,0,0,385344,144807,13479,0,0,25459,590355,0,34505,0,177330,0,0,1450884,0,0
2002,"Tea",4648624,0,0,0,0,0,0,373779,0,9666083,621801,4715395,0,5754,0,0,0,0,92671,0,0,0,0,0,407249,3111221,0,0,0,0,0,0,0,3703531,1118115,117353,159632,0,45948,702431,0,0,172869,0,0,0,619652,0,197699,0,0,0,0,0,0,0,0,13190,0,4593,0,0,388118,0,24256,2728276,0,0,892064,0,84256,0,280568,0,0,1319813,2341,362259
2003,"Tea",3596158,110044,0,0,0,0,0,257040,0,9777493,1096301,0,14231,0,0,0,0,0,46474,0,0,0,0,0,463762,3342604,0,4023,0,0,0,208537,0,4469975,1144062,134204,276829,0,38925,861187,0,0,137118,0,0,8317,2877970,0,145797,0,0,0,0,0,0,2450,0,0,0,3695,0,0,481919,111182,7684,0,0,0,0,0,130563,0,0,0,0,2007307,0,0
2004,"Tea",0,131778,0,0,4912,0,0,584776,0,12245757,1214777,8273982,84939,0,0,0,4532,0,66771,0,0,0,0,0,147498,2247527,0,0,0,9348,0,0,0,5505225,1111205,275887,593968,7714,14805,651260,0,842666,96331,0,0,10704,3187286,0,452707,0,0,0,0,0,0,3394,0,82910,0,0,0,0,267961,347598,99593,0,0,0,837711,0,83560,0,184147,0,0,1649535,0,0
2005,"Tea",0,22672,0,0,5724,0,0,675377,0,9938929,0,8436670,0,0,0,5053,0,0,107201,16817,0,0,0,0,156707,2625754,0,2262,0,0,0,80872,0,6433084,920284,0,616695,262929,38223,1780125,0,0,228355,0,0,35347,2960282,0,633290,0,0,0,0,0,0,0,0,108580,10286,0,0,0,274677,232216,0,0,0,0,876608,0,127010,0,0,0,0,2912002,0,0
2006,"Tea",5680708,0,41620,0,341579,0,0,647096,0,10407593,398121,9837921,9252,0,0,0,0,12399,161667,0,0,0,0,0,138908,4419701,0,0,0,0,0,267908,0,7859724,1247511,260705,121004,74258,0,2456181,0,0,210284,0,0,24609,1334268,0,460926,0,0,0,0,0,0,22045,0,162186,0,0,0,0,633066,271309,0,0,0,0,922394,0,171792,0,0,0,0,3787583,0,0
2007,"Tea",0,0,0,0,68360,5878,0,1279212,0,9273606,627757,12532687,0,19024,0,0,0,0,124680,0,0,0,0,0,169514,4643732,0,4318,0,0,0,105515,0,6994842,1664596,0,332460,41480,18198,3400076,0,0,273763,0,0,85222,2189295,0,408215,0,0,0,0,0,0,2651,0,55892,8370,3868,0,0,218947,107324,0,0,0,0,779505,0,204157,0,0,0,0,3487502,0,0
2008,"Tea",6356924,0,0,0,43352,3214,0,890395,0,12440923,861618,13933524,0,868725,0,0,0,0,95417,66550,0,0,0,0,293420,7015118,0,11961,0,0,0,0,0,9839564,1724022,0,4685,27762,12729,2342725,0,2159762,333640,0,0,135555,755134,0,117735,0,0,0,0,0,0,0,0,129726,0,16768,0,0,168419,156311,0,0,0,0,1076383,0,207214,0,0,0,0,3347241,0,777642
2009,"Tea",0,0,9123,0,29256,0,0,1433158,0,12095824,1617793,13740440,0,265054,0,0,0,0,54006,10096,0,0,0,0,79015,3268546,0,19344,18652,0,0,0,0,8770368,1799672,0,32569,602453,53426,4137272,0,0,280755,0,0,53336,1276505,0,528514,0,0,0,0,0,0,3224,0,48183,0,20179,0,0,158359,125899,0,2504988,0,0,832841,0,260163,0,111027,0,0,3555297,0,1050732
2010,"Tea",0,63389,0,0,22594,0,0,655374,0,15267140,0,14614481,55524,18992,0,3123,0,0,162158,10388,0,0,0,0,244843,5323766,0,0,37104,0,0,0,0,9547335,2138016,0,620477,171351,20547,3752074,0,0,286549,0,0,35753,664253,0,478199,0,0,0,0,0,262054,0,18156,132981,0,34605,0,0,40187,77320,7149,0,0,0,842627,0,588831,0,132147,0,0,2666365,0,1021543
2011,"Tea",0,0,0,0,43653,0,0,1095132,2665,14760017,1005173,21893613,0,0,0,0,0,0,117469,16026,0,0,0,0,242440,3847890,0,0,0,0,0,162241,0,11469393,1472459,0,26889,557301,58070,6630896,0,0,465706,0,0,261162,1089363,0,257655,0,0,0,0,7637,296602,2409,63725,387175,11774,24019,0,0,70246,0,28919,3323650,3148,0,1443819,0,433256,0,259520,0,0,2858070,0,1205758
2012,"Tea",9446519,7657,0,0,72902,0,0,1673706,2563,13987991,2134284,23386109,22255,18303,0,0,56369,0,318743,8780,0,0,0,0,442548,7236020,0,0,43543,0,0,0,0,9733811,1652404,0,148346,355691,71121,4886391,0,0,362951,0,0,107041,1157080,0,219987,0,0,0,0,0,0,0,6095,477593,0,17908,23750,0,528248,70604,87954,0,0,0,1245986,0,504966,0,213426,0,0,1691456,0,1785843
2013,"Tea",0,0,33879,0,62626,8066,0,1696358,0,12933213,0,25944508,8221,0,0,0,95378,0,409983,26419,0,0,0,0,410269,6112913,0,0,35886,0,0,114474,0,11780856,914728,0,378282,354365,83909,5612185,2960,0,462841,0,0,76841,223987,0,78301,0,0,0,0,0,102656,7712,102228,630394,10544,29259,0,0,29785,90564,43753,0,0,4901,1176135,0,1084337,0,255835,0,0,1591072,0,2162540
2014,"Tea",12586823,6038,0,0,97061,0,0,1205518,0,10023711,0,0,11052,0,0,0,73565,0,365167,79645,10871,0,0,0,267376,4694399,0,6237,32912,0,0,136973,0,13786298,2120459,537429,603797,286441,175996,5321379,6901,0,404152,2264,0,60558,622022,0,1323379,39064,0,0,0,0,52176,0,0,731571,0,57529,0,0,47407,0,108331,0,0,5814,1587842,71748,745618,0,421278,0,0,1897445,0,2683195
2015,"Tea",12780898,0,0,0,64441,0,0,783980,4443,8725448,0,23054781,0,0,0,0,69280,0,253002,85439,0,54608,0,0,278387,5592511,0,8319,30219,0,0,64287,0,11676997,1137341,0,253058,1022331,172650,5934235,5156,0,381107,0,0,83799,654430,0,562213,39064,0,0,0,0,117918,0,61852,894974,2615,36650,0,0,34490,67175,68056,0,0,41421,1395242,0,591246,0,94719,0,22106,2584006,0,1979291
2016,"Tea",0,26564,0,0,20501,0,0,1053066,0,9595939,2107949,23449107,0,0,0,0,69032,0,368154,12826,0,0,0,0,258912,4977979,0,19429,20240,0,0,258498,0,14788056,1800717,0,424951,295195,40469,7065118,5053,0,282662,0,0,63594,573539,0,0,0,0,0,0,6343,128012,0,81434,920635,5001,89740,0,0,39029,0,77094,0,0,7669,1823792,0,778508,0,0,0,0,2763954,0,1366148
1996,"Spices",0,0,0,0,1533,0,0,1617735,0,612353,0,3167010,106638,2023352,0,0,0,21997,106849,0,5952,0,0,0,165395,598418,0,0,514806,0,216808,0,0,9092877,19016327,0,1569108,119976,228915,162081,0,0,193659,0,0,449482,3232229,0,325848,0,192814,0,0,0,0,0,35156,0,0,0,0,0,207959,0,3480160,0,0,2453,0,0,420291,142876,3712922,0,0,231381,0,0
1997,"Spices",0,0,0,0,14139,0,0,2849149,0,866333,0,2761389,50883,979351,0,0,0,12603,40077,0,11551,0,0,0,286479,875552,0,0,450560,0,420101,0,0,12164911,20072835,0,1861351,154855,148544,172202,0,0,377020,0,0,2331940,3796155,0,181009,0,63216,0,0,0,0,45364,17069,0,0,0,0,0,812081,32161,2764357,0,0,94156,0,0,644215,163716,0,0,0,196311,0,347408
1998,"Spices",0,0,0,0,0,0,0,3687698,0,901973,0,3257006,63203,1034497,0,0,0,6606,22253,0,0,0,127051,0,323193,610118,0,148430,417792,0,119039,0,0,10459989,25987643,0,1496901,175221,490655,146238,0,0,99432,0,0,856702,4460040,0,410340,0,0,0,0,0,0,9774,0,3642,0,0,0,0,1079186,0,3654611,0,0,19533,62740,0,650434,0,3802492,0,0,168273,0,0
1999,"Spices",0,0,0,0,0,0,0,8696784,0,1022818,0,5709939,141085,1058530,0,0,3546,5939,41740,679875,0,0,0,0,364093,323519,0,0,852943,0,88031,0,0,14595081,20429495,0,1286435,158277,424604,151407,0,0,86242,0,0,0,5405872,0,232775,0,0,0,0,0,0,62339,0,0,0,0,0,0,1044944,79092,2864425,0,0,0,95342,0,536029,80694,3977329,0,0,16356,0,0
2000,"Spices",47619,0,0,0,0,0,0,10212263,0,928680,0,5707274,58365,593090,0,11600,0,11691,71747,286991,3569,0,0,0,334567,451037,0,122402,974662,0,166787,519157,0,16202584,15702266,0,1291549,404138,318974,163050,0,0,449567,30806,0,1429236,5285974,0,303820,0,8585,0,0,0,51775,81007,66193,0,0,0,0,0,1064340,0,3721979,0,0,6533,53812,0,712707,163570,0,0,0,58720,0,0
2001,"Spices",0,195145,0,0,2538,0,0,8720646,0,1148166,932370,0,66033,324066,0,0,0,17332,183856,767641,6249,0,0,0,778357,554293,0,172290,1277340,0,57337,0,0,6959174,21173764,0,834524,206601,272593,142503,0,0,436432,0,0,447571,4892811,0,732022,0,10057,0,0,0,0,396428,0,0,0,0,0,0,416739,143569,2433197,0,0,3024,106244,0,854091,0,2575038,0,0,194744,0,0
2002,"Spices",15784,0,0,0,0,0,0,6071389,0,847846,1474533,7861947,397704,358730,0,19918,0,27522,565112,799183,10161,0,0,0,718426,644859,0,0,879159,0,549907,0,0,7332928,19475008,0,1517233,159052,572290,135588,0,0,337897,0,0,1215588,6578833,0,187753,0,151243,0,0,107335,0,997409,58597,76693,17256,0,0,0,587750,0,3375542,2123424,0,14860,199467,0,702212,63505,3567572,0,0,69694,0,1193063
2003,"Spices",7486,13560,0,0,0,0,0,7435650,0,1026001,882667,0,762550,574128,0,24847,0,58660,533449,591204,44743,0,0,0,5661604,1675600,0,260147,924042,0,509469,339325,0,9569997,16854476,0,2080883,436002,265263,137258,0,0,205973,0,0,1308228,4972594,0,211119,0,149085,0,0,163215,0,1152508,0,0,0,4002,0,0,708548,325879,4109957,0,0,7217,0,0,506509,53410,0,0,0,107822,0,0
