"Year","Country","Coffee","Tea","Spices","Chocolate","Cocoa"
1998,"Argentina",5861,5516401,0,555984,0
2000,"Argentina",7370,3427109,47619,353285,0
2002,"Argentina",32963,4648624,15784,1747397,0
2003,"Argentina",2350,3596158,7486,2281218,0
2006,"Argentina",91805,5680708,6511,2468870,0
2008,"Argentina",9369,6356924,26460,176913,0
2012,"Argentina",5824,9446519,27930,154665,0
2014,"Argentina",3438,12586823,32357,67626,0
2015,"Argentina",4154,12780898,5135,117687,0
2001,"Australia",51272,12696,195145,174692,0
2003,"Australia",56098,110044,13560,110521,0
2004,"Australia",122989,131778,55368,361737,0
2005,"Australia",4999,22672,30204,654414,0
2006,"Australia",30751,0,19023,71784,0
2010,"Australia",11667,63389,0,163644,0
2011,"Australia",12236,0,4455,116019,0
2012,"Australia",11484,7657,0,70086,0
2013,"Australia",29061,0,0,98522,0
2014,"Australia",131053,6038,0,193204,0
2015,"Australia",71726,0,29522,528670,0
2016,"Australia",66689,26564,2973,67976,0
2006,"Austria",94308,41620,10780,1239161,4800
2009,"Austria",4719,9123,0,1854204,2350
2010,"Austria",75447,0,0,2527093,0
2011,"Austria",78113,0,0,2001368,0
2013,"Austria",14460,33879,0,2141084,0
2014,"Austria",8096,0,4337,2570697,0
2015,"Austria",45866,0,0,1868092,0
2016,"Austria",71572,0,16594,1718366,0
2004,"Barbados",5140,0,8246,0,0
1996,"Belgium",199987,2265,1533,3178054,623084
1997,"Belgium",250170,0,14139,3659337,240518
1998,"Belgium",85146,0,0,5307156,425179
1999,"Belgium",23144,0,0,6223829,1249497
2000,"Belgium",111986,37736,0,6426890,353931
2001,"Belgium",115446,0,2538,7249636,10549
2002,"Belgium",129663,0,0,6618777,122920
2003,"Belgium",409355,0,0,9247926,188891
2004,"Belgium",1255841,4912,66368,9690691,59450
2005,"Belgium",1622585,5724,18142,9763387,96636
2006,"Belgium",1084301,341579,6101,12098595,69746
2007,"Belgium",2159633,68360,9359,16156120,102514
2008,"Belgium",1348289,43352,4772,13607093,276406
2009,"Belgium",1012279,29256,17233,8344652,193600
2010,"Belgium",1721160,22594,5151,14868593,1110048
2011,"Belgium",192236,43653,7086,19370441,446927
2012,"Belgium",1183226,72902,3067,21887499,527805
2013,"Belgium",761437,62626,12026,19187845,496236
2014,"Belgium",871981,97061,7900,22429815,634738
2015,"Belgium",844320,64441,12407,18943718,662986
2016,"Belgium",625457,20501,7943,17828482,194886
2003,"Bolivia",728178,0,0,0,0
2007,"Bolivia",1018822,5878,0,0,5996
2008,"Bolivia",1776064,3214,7675,0,0
2009,"Bolivia",1840229,0,2714,0,0
2011,"Bolivia",1311411,0,0,13496,84345
2012,"Bolivia",1588620,0,0,0,0
2013,"Bolivia",1664105,8066,0,0,87796
2015,"Bolivia",1188226,0,0,0,0
2016,"Bolivia",827290,0,11407,0,158400
2007,"Bosnia and Herzegovina",183633,0,12235,0,7038
1996,"Brazil",57945037,723442,1617735,1923037,20693006
1997,"Brazil",59584922,462006,2849149,1110076,9595705
1998,"Brazil",73785068,404155,3687698,1088195,11729080
1999,"Brazil",86642279,718930,8696784,795316,3374497
2000,"Brazil",60494934,629444,10212263,816796,4931041
2001,"Brazil",38228246,495458,8720646,1447773,6155167
2002,"Brazil",52087311,373779,6071389,1868718,8256496
2003,"Brazil",68995109,257040,7435650,7359810,11534037
2004,"Brazil",83166845,584776,9060584,7423148,15410882
2005,"Brazil",101835949,675377,9492780,9556403,17580198
2006,"Brazil",111792291,647096,11129281,6709824,16077850
2007,"Brazil",139767835,1279212,4693916,4589734,14113699
2008,"Brazil",165747458,890395,6983533,2812729,15838548
2009,"Brazil",160114482,1433158,7231331,2194791,8405005
2010,"Brazil",230095752,655374,7528740,1125168,7697888
2011,"Brazil",397944381,1095132,12304421,806118,12613112
2012,"Brazil",411277696,1673706,12337520,1220990,11467225
2013,"Brazil",231044947,1696358,28335073,1529473,5919761
2014,"Brazil",235401612,1205518,31058882,1669062,16538516
2015,"Brazil",240571287,783980,43278321,353351,20558433
2016,"Brazil",220382741,1053066,25521491,1220787,9934041
2011,"Bulgaria",9114,2665,172873,8441,0
2012,"Bulgaria",2855,2563,165939,22012,0
2013,"Bulgaria",87747,0,230080,0,0
2014,"Bulgaria",5607,0,208572,52714,0
2015,"Bulgaria",3999,4443,379863,298455,0
2016,"Bulgaria",53481,0,177939,752012,0
1996,"Canada",10231136,3708757,612353,42665858,701603
1997,"Canada",12433451,3439168,866333,55017203,819167
1998,"Canada",19764547,2252790,901973,42088429,1713564
1999,"Canada",22638037,4519835,1022818,55248513,1661237
2000,"Canada",22625247,5890077,928680,56549929,1581871
2001,"Canada",20536219,8713242,1148166,71179432,1704234
2002,"Canada",22100494,9666083,847846,86517147,1905651
2003,"Canada",18937231,9777493,1026001,110354970,2461420
2004,"Canada",20820308,12245757,858594,111866770,1706364
2005,"Canada",22000923,9938929,1047687,112704824,1824211
2006,"Canada",21904132,10407593,832926,102525722,2341975
2007,"Canada",21629792,9273606,1222274,108893405,2474846
2008,"Canada",22170709,12440923,1567242,109670749,2534771
2009,"Canada",29708904,12095824,1881551,103108252,2112189
2010,"Canada",47742306,15267140,1308339,123290373,3606829
2011,"Canada",66464861,14760017,744087,147313657,4248289
2012,"Canada",73872316,13987991,917167,151134534,5974830
2013,"Canada",72228810,12933213,1060734,166564295,4398040
2014,"Canada",67386035,10023711,1544905,194372711,3470005
2015,"Canada",68350134,8725448,1817726,190338599,5838854
2016,"Canada",78567485,9595939,1321855,225737156,4841135
2001,"Chile",20251,304217,932370,2174854,0
2002,"Chile",54259,621801,1474533,1960683,0
2003,"Chile",50527,1096301,882667,1232404,0
2004,"Chile",156058,1214777,1029683,1270524,0
2006,"Chile",2267,398121,560918,4916898,0
2007,"Chile",71825,627757,357597,1654397,0
2008,"Chile",77346,861618,466872,1568701,0
2009,"Chile",12525,1617793,290609,544475,0
2011,"Chile",86768,1005173,568073,133550,0
2012,"Chile",3862,2134284,49728,321266,0
2016,"Chile",93540,2107949,53312,11325,0
1996,"China",6280,5439880,3167010,19464,8683965
1997,"China",59717,6448452,2761389,5307,10226763
1998,"China",11118,6321640,3257006,44189,10878943
1999,"China",114658,4996945,5709939,25823,5588887
2000,"China",13668,4393125,5707274,130709,3197905
2002,"China",47634,4715395,7861947,342655,3742287
2004,"China",121944,8273982,13764506,1864937,3883078
2005,"China",21689,8436670,12345763,1331400,4561412
2006,"China",58800,9837921,12245223,2548592,8517646
2007,"China",420861,12532687,14101025,3096805,4590747
2008,"China",24799,13933524,16655012,5141203,7060452
2009,"China",22328,13740440,17979336,4344523,1543599
2010,"China",228821,14614481,21166727,1100973,537671
2011,"China",665168,21893613,28201607,605851,857620
2012,"China",1947282,23386109,28592528,2074343,601839
2013,"China",1742858,25944508,25170147,1969995,1540267
2015,"China",913224,23054781,27530769,2099952,0
2016,"China",2498475,23449107,29203306,2044731,1448140
1996,"Colombia",110917781,0,106638,205391,5364
1997,"Colombia",110064656,0,50883,300930,2180269
1998,"Colombia",155349214,0,63203,513226,1252641
1999,"Colombia",108130574,0,141085,381578,1096149
2000,"Colombia",96447595,0,58365,366565,0
2001,"Colombia",74522042,0,66033,849375,1053251
2002,"Colombia",71396953,0,397704,748586,208733
2003,"Colombia",83183478,14231,762550,384932,1067216
2004,"Colombia",88790550,84939,1082231,523524,956302
2005,"Colombia",134252548,0,1125764,1004066,1586198
2006,"Colombia",128958032,9252,1701061,779530,5325
2007,"Colombia",153173758,0,1438824,1041529,551912
2008,"Colombia",160462264,0,1429196,793764,2853752
2009,"Colombia",160374031,0,1746320,1009568,1206025
2010,"Colombia",204766943,55524,1705040,1113312,1149071
2011,"Colombia",348419503,0,1486482,1042091,51370
2012,"Colombia",223007633,22255,734673,1032475,188092
2013,"Colombia",199684709,8221,1531812,1236961,830088
2014,"Colombia",215751860,11052,1012079,2394989,1196513
2015,"Colombia",249854221,0,1207591,1279214,763115
2016,"Colombia",275647842,0,730207,2976457,642540
1996,"Costa Rica",6021438,0,2023352,32338,1139599
1997,"Costa Rica",13290910,0,979351,0,1360232
1998,"Costa Rica",24941972,62100,1034497,0,648736
1999,"Costa Rica",14935543,0,1058530,0,45660
2000,"Costa Rica",12181358,8121,593090,0,180447
2001,"Costa Rica",9412107,0,324066,25205,88945
2002,"Costa Rica",12894236,5754,358730,14313,58381
2003,"Costa Rica",9102299,0,574128,3006,105175
2004,"Costa Rica",12746224,0,742553,5499,525884
2005,"Costa Rica",10620759,0,1005388,0,527094
2006,"Costa Rica",8185227,0,559666,0,168458
2007,"Costa Rica",9909008,19024,446622,16752,13860
2008,"Costa Rica",16453444,868725,619547,180370,97008
2009,"Costa Rica",12542158,265054,531662,150235,0
2010,"Costa Rica",20815368,18992,741115,87718,0
2011,"Costa Rica",23691667,0,517692,22901,92816
2012,"Costa Rica",26965204,18303,583551,36042,298716
2013,"Costa Rica",21040657,0,576886,48363,69170
2014,"Costa Rica",13583650,0,1165570,43179,0
2015,"Costa Rica",9644818,0,926508,43318,0
2016,"Costa Rica",7590077,0,895387,102806,3207
2007,"Cote d'Ivoire",2980702,0,0,0,150995131
2000,"Croatia",20012,8991,11600,174350,0
2001,"Croatia",62556,17117,0,103940,0
2002,"Croatia",53914,0,19918,243311,5558
2003,"Croatia",30832,0,24847,96872,52083
2004,"Croatia",58927,0,10365,179596,14703
2005,"Croatia",129620,5053,59531,286677,3511
2006,"Croatia",81973,0,221041,255078,0
2009,"Croatia",36150,0,16501,370840,19109
2010,"Croatia",19689,3123,17815,516972,17108
2012,"Croatia",25120,0,381906,345722,4986
2013,"Croatia",54381,0,267571,398078,0
1999,"Denmark",130724,0,3546,72221,0
2004,"Denmark",32472,4532,0,344810,0
2012,"Denmark",20028,56369,0,48410,0
2013,"Denmark",33555,95378,0,208418,0
2014,"Denmark",86402,73565,0,6530,0
2015,"Denmark",373299,69280,0,65182,0
2016,"Denmark",240751,69032,0,162136,0
1996,"Dominican Republic",5721765,0,21997,162264,3764439
1997,"Dominican Republic",9212933,0,12603,142207,6597999
1998,"Dominican Republic",7622959,0,6606,111043,4489907
1999,"Dominican Republic",2596818,0,5939,65950,2463472
2000,"Dominican Republic",2024352,0,11691,78821,1151283
2001,"Dominican Republic",167822,0,17332,115641,1522713
2002,"Dominican Republic",548706,0,27522,124819,3990945
2003,"Dominican Republic",521440,0,58660,143109,5251593
2004,"Dominican Republic",31279,0,97883,115529,4372292
2005,"Dominican Republic",78118,0,32347,127735,3280817
2006,"Dominican Republic",20700,12399,7756,110539,4855230
2007,"Dominican Republic",57441,0,18530,230018,3546199
2008,"Dominican Republic",113995,0,25448,143423,7600158
2009,"Dominican Republic",163911,0,22265,188881,12477794
2010,"Dominican Republic",342907,0,31323,321973,8414319
2011,"Dominican Republic",328758,0,85106,257999,11093361
2012,"Dominican Republic",4684031,0,296639,245978,8099913
2013,"Dominican Republic",1580917,0,306858,712997,5766103
2014,"Dominican Republic",212103,0,72001,579658,7454621
2015,"Dominican Republic",282651,0,76668,693254,5228072
2016,"Dominican Republic",198924,0,58391,781288,4140924
1996,"Ecuador",12521680,90859,106849,225522,18636872
1997,"Ecuador",7758258,157352,40077,202258,9666309
1998,"Ecuador",9163846,71657,22253,37010,3599385
1999,"Ecuador",10677241,51672,41740,5680,8238504
2000,"Ecuador",3988473,96315,71747,66382,7842266
2001,"Ecuador",1161350,122406,183856,72681,5029018
2002,"Ecuador",2399761,92671,565112,69993,5495680
2003,"Ecuador",1607670,46474,533449,93456,13775745
2004,"Ecuador",2311514,66771,501308,113886,12984329
2005,"Ecuador",2283209,107201,562687,126660,8800668
2006,"Ecuador",5000278,161667,253892,116726,7623801
2007,"Ecuador",3621961,124680,396531,95898,6812734
2008,"Ecuador",805711,95417,545670,587280,25517058
2009,"Ecuador",1246728,54006,209745,158068,41821302
2010,"Ecuador",2769083,162158,475937,152040,37412939
2011,"Ecuador",3086612,117469,291507,218983,54027692
2012,"Ecuador",3876748,318743,662015,91089,35020194
2013,"Ecuador",2026740,409983,401074,92819,54671296
2014,"Ecuador",3547801,365167,665608,200409,52634479
2015,"Ecuador",6019080,253002,1059466,422897,67814094
2016,"Ecuador",2785761,368154,1077886,504191,41705178
1999,"Egypt",22948,26028,679875,0,0
2000,"Egypt",22548,0,286991,11189,0
2001,"Egypt",17280,0,767641,0,0
2002,"Egypt",47208,0,799183,26418,0
2003,"Egypt",41455,0,591204,0,0
2004,"Egypt",37033,0,442401,2781,0
2005,"Egypt",26880,16817,861019,7177,0
2006,"Egypt",73260,0,879869,40090,0
2008,"Egypt",49561,66550,1048314,0,0
2009,"Egypt",40176,10096,1107688,9135,0
2010,"Egypt",49724,10388,1668911,0,0
2011,"Egypt",104771,16026,1299043,0,0
2012,"Egypt",309246,8780,1846898,0,0
2013,"Egypt",171800,26419,1843999,0,0
2014,"Egypt",155146,79645,1470872,58114,0
2015,"Egypt",87691,85439,1596477,19264,0
2016,"Egypt",33245,12826,2126870,0,0
1996,"El Salvador",7100435,7477,5952,2590,5306
1997,"El Salvador",17144290,0,11551,3324,6885
1998,"El Salvador",11637290,0,0,0,0
1999,"El Salvador",9276178,0,0,0,0
2000,"El Salvador",13950236,0,3569,24007,0
2001,"El Salvador",8444723,0,6249,2206,0
2002,"El Salvador",2348504,0,10161,21190,0
2003,"El Salvador",6988402,0,44743,10687,2792
2004,"El Salvador",2780429,0,4668,6881,2356
2005,"El Salvador",5258361,0,146037,19852,0
2006,"El Salvador",7633893,0,6281,12313,7944
2007,"El Salvador",11226087,0,60889,21832,0
2008,"El Salvador",13263669,0,4639,70001,0
2009,"El Salvador",8472615,0,65416,37038,0
2010,"El Salvador",11708062,0,31133,40860,0
2011,"El Salvador",20781394,0,26424,42169,0
2012,"El Salvador",15892380,0,13578,80156,15200
2013,"El Salvador",6428036,0,27800,94391,0
2014,"El Salvador",2325099,10871,55177,50980,3965
2015,"El Salvador",5465688,0,64123,9630,8446
2016,"El Salvador",3221988,0,75139,78347,0
2015,"Estonia",7110,54608,0,0,0
1998,"Fiji",4236,0,127051,0,0
2002,"Finland",7604,0,0,58119,0
2010,"Finland",5181,0,518325,9433,0
2011,"Finland",5498,0,507535,21735,0
2013,"Finland",3542,0,669071,4579,0
1996,"France",2865350,20417,165395,1469418,213969
1997,"France",8570350,55060,286479,2554346,141296
1998,"France",5562920,93084,323193,2832144,2759124
1999,"France",2845632,72007,364093,3443977,1252528
2000,"France",4964790,88460,334567,4814916,2084209
2001,"France",3278023,36723,778357,2244284,635780
2002,"France",1173584,407249,718426,3323922,1537744
2003,"France",1927703,463762,5661604,4943987,2443309
2004,"France",872343,147498,973884,4504222,3710587
2005,"France",677290,156707,1118873,3437481,2240370
2006,"France",382992,138908,727004,4840629,2366682
2007,"France",449741,169514,697659,5767883,2495420
2008,"France",1049368,293420,301116,4790386,2094049
2009,"France",907205,79015,486035,4258688,3042379
2010,"France",662780,244843,169470,4221002,5287889
2011,"France",867467,242440,585101,4607461,7039825
2012,"France",5524480,442548,507938,6810047,5615616
2013,"France",1588040,410269,337055,5470297,4361511
2014,"France",498924,267376,528319,6375527,3136716
2015,"France",1153905,278387,1462042,6188351,2814503
2016,"France",1184597,258912,468224,6245144,4021135
1996,"Germany",11406517,2987056,598418,3201022,729488
1997,"Germany",16254959,2759317,875552,2435399,375550
1998,"Germany",13988435,1952680,610118,5218716,617579
1999,"Germany",13262964,2690674,323519,5959357,228438
2000,"Germany",11025371,2308808,451037,7302641,408398
2001,"Germany",7712541,3244525,554293,9308886,77457
2002,"Germany",7026613,3111221,644859,7108911,220577
2003,"Germany",10989605,3342604,1675600,7493596,1313103
2004,"Germany",14827194,2247527,1151119,7605651,818899
2005,"Germany",24316767,2625754,1277433,8620332,1506503
2006,"Germany",29497036,4419701,1732121,10697757,750451
2007,"Germany",26093414,4643732,1124653,14445491,592941
2008,"Germany",30502578,7015118,1107137,10388658,1833715
2009,"Germany",23621264,3268546,1515088,10965438,2036394
2010,"Germany",24750874,5323766,1868192,15930027,11517608
2011,"Germany",31705052,3847890,2920729,20697064,6693929
2012,"Germany",29576055,7236020,2724098,28201569,11847854
2013,"Germany",26315953,6112913,2422011,25634525,6085511
2014,"Germany",28892999,4694399,1996251,31626227,2122175
2015,"Germany",26619730,5592511,1727930,22236060,4308743
2016,"Germany",18769104,4977979,1603892,15943978,6370986
2015,"Ghana",2665,0,190689,35715,26003755
1998,"Greece",415696,0,148430,50555,0
2000,"Greece",187567,3206,122402,44362,0
2001,"Greece",19041,0,172290,57117,0
2003,"Greece",192080,4023,260147,26127,0
2004,"Greece",2695,0,148501,36005,0
2005,"Greece",380954,2262,87882,88860,0
2007,"Greece",421311,4318,144477,60174,0
2008,"Greece",347415,11961,89053,181355,0
2009,"Greece",455689,19344,107673,94237,0
2014,"Greece",236761,6237,104135,211357,0
2015,"Greece",584141,8319,40758,61050,0
2016,"Greece",187084,19429,101016,136222,0
1996,"Guatemala",65432388,0,514806,0,0
1997,"Guatemala",88882030,0,450560,0,0
1998,"Guatemala",73987021,0,417792,0,0
1999,"Guatemala",61132120,0,852943,31363,0
2000,"Guatemala",48166044,0,974662,7220,0
2001,"Guatemala",23340833,0,1277340,0,0
2002,"Guatemala",21704703,0,879159,0,0
2003,"Guatemala",22529278,0,924042,85400,0
2004,"Guatemala",21317501,0,714389,44300,0
2005,"Guatemala",26908026,0,565299,104146,0
2006,"Guatemala",24946305,0,693699,0,0
2007,"Guatemala",18809192,0,425045,0,2546
2008,"Guatemala",24923536,0,1367893,0,0
2009,"Guatemala",25391052,18652,1297316,32500,0
2010,"Guatemala",28735539,37104,2007177,132729,0
2011,"Guatemala",43909823,0,2803851,148290,5384
2012,"Guatemala",47094525,43543,1892126,165423,0
2013,"Guatemala",31692165,35886,1773991,170625,0
2014,"Guatemala",27187141,32912,1960177,225355,0
2015,"Guatemala",27551030,30219,988783,56711,45154
2016,"Guatemala",20038454,20240,1421372,57944,0
1998,"Haiti",64108,0,0,0,451399
2002,"Haiti",7503,0,0,0,875731
2004,"Haiti",7598,9348,0,0,447490
2008,"Haiti",8940,0,0,0,1609179
2009,"Haiti",6081,0,0,0,2854595
2010,"Haiti",48000,0,0,0,1260459
2011,"Haiti",17087,0,0,0,948147
2012,"Haiti",6076,0,0,0,2083454
2013,"Haiti",4685,0,11060,0,292719
2014,"Haiti",63984,0,0,0,805847
2015,"Haiti",132730,0,0,0,1013861
2016,"Haiti",21813,0,0,0,0
1996,"Honduras",10343846,0,216808,0,209579
1997,"Honduras",7824680,0,420101,0,605235
1998,"Honduras",15205668,0,119039,0,312880
1999,"Honduras",9566996,0,88031,0,466509
2000,"Honduras",8393452,0,166787,0,288010
2001,"Honduras",4104590,0,57337,0,487503
2002,"Honduras",1761802,0,549907,0,334435
2003,"Honduras",2120145,0,509469,0,323335
2004,"Honduras",3689570,0,357590,0,473736
2005,"Honduras",5313148,0,393889,0,757827
2006,"Honduras",5972791,0,496861,0,634305
2007,"Honduras",4673856,0,306569,0,202115
2008,"Honduras",5509626,0,438159,0,235480
2009,"Honduras",5128434,0,214205,0,0
2010,"Honduras",9615704,0,309525,0,87641
2011,"Honduras",21599349,0,755626,0,0
2012,"Honduras",12605973,0,612080,0,0
2013,"Honduras",14078103,0,762785,0,0
2014,"Honduras",14063445,0,496079,0,0
2015,"Honduras",18496338,0,246576,0,0
2016,"Honduras",22414868,0,41900,0,56216
2000,"Hong Kong",3364,91160,519157,152789,0
2003,"Hong Kong",12705,208537,339325,88704,0
2005,"Hong Kong",5783,80872,88873,68450,0
2006,"Hong Kong",12524,267908,39715,49136,0
2007,"Hong Kong",2719,105515,70549,50192,0
2011,"Hong Kong",3995,162241,14399,28167,0
2013,"Hong Kong",29979,114474,134424,45302,0
2014,"Hong Kong",5672,136973,187710,0,0
2015,"Hong Kong",2809,64287,174352,24894,0
2016,"Hong Kong",11093,258498,107949,18722,0
2016,"Hungary",24191,0,85440,163057,0
1996,"India",4832454,2500074,9092877,4312,0
1997,"India",907351,4191178,12164911,2100,440325
1998,"India",929017,3382896,10459989,3057,0
1999,"India",772680,3617237,14595081,4030,246854
2000,"India",1201917,4163175,16202584,8625,0
2001,"India",611884,4353272,6959174,0,4605
2002,"India",396581,3703531,7332928,29278,10800
2003,"India",810459,4469975,9569997,40284,0
2004,"India",702255,5505225,9662791,20418,103789
2005,"India",1130439,6433084,9861369,21572,84480
2006,"India",1031961,7859724,12669332,72977,0
2007,"India",807469,6994842,21026132,40883,0
2008,"India",1582652,9839564,25835752,71100,142500
2009,"India",2027977,8770368,19051939,95025,1478956
2010,"India",2767952,9547335,20980628,141740,1451963
2011,"India",4425896,11469393,30577930,35530,677074
2012,"India",3327359,9733811,42092491,170024,729251
2013,"India",8870291,11780856,33061510,43127,2800841
2014,"India",6847610,13786298,30927176,73036,5331657
2015,"India",3525953,11676997,37970072,86337,6347706
2016,"India",5834046,14788056,42048873,116424,5958860
1996,"Indonesia",24238726,2645946,19016327,0,45763260
1997,"Indonesia",20221830,2790847,20072835,0,55288932
1998,"Indonesia",23855525,2650888,25987643,0,32354768
1999,"Indonesia",16176876,2277984,20429495,32588,52033357
2000,"Indonesia",12523871,1264381,15702266,21382,30911214
2001,"Indonesia",10971383,1209143,21173764,0,37453992
2002,"Indonesia",13176860,1118115,19475008,7497,22967847
2003,"Indonesia",21490649,1144062,16854476,0,34678114
2004,"Indonesia",22784535,1111205,11375900,0,24887269
2005,"Indonesia",23958647,920284,9134396,0,57738961
2006,"Indonesia",33547539,1247511,12572415,0,24138668
2007,"Indonesia",37337489,1664596,15750315,0,50375020
2008,"Indonesia",53743278,1724022,24704376,6418,69203191
2009,"Indonesia",34778585,1799672,18725968,0,65331690
2010,"Indonesia",35357108,2138016,34907855,2343,147402584
2011,"Indonesia",60293250,1472459,34129999,30153,33246330
2012,"Indonesia",66068057,1652404,48078921,14474,43661366
2013,"Indonesia",52765696,914728,52448501,23933,40115827
2014,"Indonesia",44320171,2120459,37612109,31629,27529522
2015,"Indonesia",51968010,1137341,50625044,17046,39264489
2016,"Indonesia",57057253,1800717,40914813,27689,45998580
2001,"Ireland",11847,156037,0,1414589,0
2002,"Ireland",34518,117353,0,1729745,106650
2003,"Ireland",27792,134204,0,3024497,0
2004,"Ireland",43223,275887,4863,2753807,0
2006,"Ireland",5631,260705,0,3714444,0
2014,"Ireland",44972,537429,0,7100775,0
1996,"Israel",42945,4714,1569108,1395718,0
1997,"Israel",207191,66096,1861351,1727642,0
1998,"Israel",219586,0,1496901,1790878,0
1999,"Israel",264718,159052,1286435,1623693,0
2000,"Israel",504138,136457,1291549,1233624,0
2001,"Israel",727203,171741,834524,2646797,0
2002,"Israel",74303,159632,1517233,1604353,0
2003,"Israel",229861,276829,2080883,1508083,0
2004,"Israel",472733,593968,2396485,1317986,13641
2005,"Israel",117363,616695,2168754,1458721,0
2006,"Israel",248539,121004,2591980,2217625,0
2007,"Israel",730136,332460,2804762,1391059,0
2008,"Israel",635665,4685,2151357,2271102,10943
2009,"Israel",690460,32569,1558603,1909875,9205
2010,"Israel",316586,620477,1137501,2524231,126900
2011,"Israel",562157,26889,1266186,3612053,17426
2012,"Israel",900469,148346,1270028,3913287,0
2013,"Israel",1062907,378282,1967125,3044826,42679
2014,"Israel",884292,603797,1217001,3003393,6357
2015,"Israel",622102,253058,1100116,3862680,89103
2016,"Israel",1249790,424951,776822,4702375,84736
1996,"Italy",2912274,16471,119976,4742941,56221
1997,"Italy",2403106,24556,154855,4570711,38505
1998,"Italy",2350114,9615,175221,3471971,47472
1999,"Italy",3593302,0,158277,947697,74618
2000,"Italy",3188233,3980,404138,884602,84823
2001,"Italy",2878748,41273,206601,1502674,73243
2002,"Italy",3742481,0,159052,1719142,137782
2003,"Italy",5022556,0,436002,1845764,368779
2004,"Italy",5384319,7714,323715,2903926,292585
2005,"Italy",6960360,262929,515326,3799700,272837
2006,"Italy",7157327,74258,771806,3393434,232746
2007,"Italy",9415578,41480,199774,4146595,18151
